tweet,language,sentiment,,
b'@reydadoraffy \xf0\x9f\x98\x82\xf0\x9f\x98\x82',emoji,1,,
b'@marytoow Irit se ansina playlist ahahaha',others,0,,
b'@alvarenzy Mailabas ang mga alak sa katawan. \xf0\x9f\x98\x85',tl,0,,
b'Teka bat ang init?\xf0\x9f\x91\x80\xf0\x9f\x94\xa5',tl,-1,,
"b""IT'S NOT LIVING IF IT'S NOT WITH YOU""",en,1,,
"b""To anyone who hasn't watched S8EP1 yet.\n\nYou're welcome. \n\nhttps://t.co/zkxLJMMqAR\n\n#ForTheThrone""",en,1,,
b'2 years na pala hehe',tlen,0,,
b'Saying \xe2\x80\x9cI\xe2\x80\x99m strong\xe2\x80\x9d when I\xe2\x80\x99m actually weak and frail.',en,-1,,
b'\xf0\x9f\x8f\x9d\xf0\x9f\x8f\x9d\xf0\x9f\x8f\x9d https://t.co/GLDP88Hp1W',emoji,0,,
"b'Excuse me po , mas mahal na kita ngayon. \xe2\x9d\xa4\n\n*Bila lagi nak acah2 comel. Haha \xf0\x9f\x98\x82\xf0\x9f\x98\x9d\n\n#baguio #igorot #minesviewpark #wheninphilippines #heatescapade #certifiedpinoy #travelingwithbae @ Mines\xe2\x80\xa6 https://t.co/gVXVndCn2u'",others,1,,
b'I let go of you. \n\nBecause you want to.',en,-1,,
b'wala na dami na nageenroll',tlen,-1,,
b'Helluuu kuya @PJNoblejas pinaka mabait na nilalang na nakilala ko ++ pogi and brainyy. Sana ol \xf0\x9f\x98\x82\xf0\x9f\x98\x9c Goodbless u kuyaa and ingat ka po lagi. \xf0\x9f\x92\x99',tlen,1,,
b'Namimiss ko mga kawork ko sa Huawei \xf0\x9f\x98\xaa',tlen,-1,,
b'Di ko ka move-on HAHAHAHAHAH oj! Karang gipasayaw mi ug dayang2 sa tita ni @rainerhythmlove HAHAHAHA!',others,1,,
b'Mood: https://t.co/TG1H6G3eoa',en,0,,
b'@sophiaalyssal ohhh niya naa kay plano mulantaw?? \xf0\x9f\x98\xaa',others,0,,
b'yung mga babaeng pabitin \xf0\x9f\x99\x85\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',tl,-1,,
b'Bago pani sila ba',others,0,,
"b'@philswift2713 Hahahaha! Yoko nun, tamang tingin tingin lang mga trip ko. \xf0\x9f\x98\x82'",tlen,1,,
"b'island princess \xf0\x9f\x8c\x8a @ Maniknik Island, Puerto Galera https://t.co/91ja95iJ1d'",en,0,,
b'Hindi na ako nakikinig kasi sobrang gutom na ako. Di ako nagbreakfast!! \xf0\x9f\x98\x82\xf0\x9f\x98\x82',tlen,1,,
b'Di ako makalandi sa facebook daming relatives \xf0\x9f\x98\x93',tlen,-1,,
b'Where to watch? #GameofThrones',en,0,,
b'@rnnxcnt @yvesvanf LAH? Pumasok kayo hahahaha \xf0\x9f\xa4\xa3 https://t.co/vMhCqqjX7o',tl,1,,
b'hahahahahahaha',en,1,,
b'inom next week sino g? \xf0\x9f\xa4\xa3',tlen,1,,
b'@ChaCalaoagan nagreply na ko sa ig ah hahahaha',tlen,1,,
b'Wag ismolin. Hahaha',tl,1,,
b'Bb shine\xf0\x9f\x98\x8a https://t.co/XQEwUZvots',en,1,,
b'pokish ka gurl \xf0\x9f\x99\x84',tlen,0,,
"b'My days are filled with toys, nursery rhymes, cries and hugs from this little boy. Can\xe2\x80\x99t imagine life without him now.\xe2\x99\xa5\xef\xb8\x8f'",en,1,,
b'Kainit ahhhhhh',tl,-1,,
"b""I can't stop watching this clip \xf0\x9f\x98\xb3""",en,0,,
"b""@erikalogist2 I know u are a criminal sis so i won't judge hahahaha""",en,1,,
b'ugma ko mo larga or ig wednesday?',others,0,,
b'May sunog nanaman \xf0\x9f\x98\xa9',tl,-1,,
b'@arthuralagao11 @yrdaveanssa HAHAHAHAHAHA HOKKAIDO NA KAYO HAHAHAHA',tlen,1,,
"b'This week, Cubao. Next week, Centris.'",en,0,,
b'Goodbye twitter. I don\xe2\x80\x99t want any spoilers!! I\xe2\x80\x99m working huhu. #GameofThrones',en,-1,,
b'Body clock ko 2-3am tulog 12 noon ang gising\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',tlen,-1,,
b'@quennnnam sal it hahah',others,1,,
"b'@shalaurel \n\n\xf0\x9f\x8c\xb9 chill person\n\xf0\x9f\x8d\xaf 0/10 :&lt;\n\xf0\x9f\x92\x8c henloo keep on striving for your dreams and goals, and always remember that God loves u \xf0\x9f\x99\x8c\xe2\x9d\xa4 dahan permii and God bless \xe2\x9c\xa8'",others,1,,
b'@patriciaannegr punuin mo na katawan mo ng tattoo',tlen,0,,
b'Panira na signal huhu makahilak nalang ta',others,-1,,
b'@wonderbellll Oh bai HAHAHHA',others,1,,
b'@krishaaaane HAHAHHAHAHAHHAHAHAHAAHAH',en,1,,
b'Ang soya',tl,0,,
"b""I'm at Olongapo City in Zambales https://t.co/b22uRzRlRk""",en,0,,
b'20K or Samal Island?\n-syempre don tayo sa Samal. HAHAHAHA',tlen,1,,
b'it\xe2\x80\x99s always for you\nand never for me\ni need it to stop',en,-1,,
b'Andito sila sir O sa jabee hinunting ako HAHAHA',tlen,1,,
b'Andito ko para mag trabaho la kong panahon makipag plastikan sainyo',tl,-1,,
b'NAKAKABITIN GOT S8 EP1 TOTOO BA',tlen,-1,,
b'Lunes na lunes badtrip na badtrip ako.',tlen,-1,,
b'aaaaahhhhhhh halo halo na',tl,0,,
b'@Juicewaaa_aa HAHAHAHA life hackzz',en,1,,
b'@rainabells char noh',others,0,,
b'@Stifffneck uyyy ganda yan hahaha. Saan ka nanonood???',tl,1,,
b'PMS \xf0\x9f\x98\x8f\xf0\x9f\xa4\xac',en,-1,,
b'Awwww \xf0\x9f\x98\x82',en,1,,
b'Off to locloc\xf0\x9f\x8f\x8a\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x9a\xa3\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',en,0,,
b'\xf0\x9f\x98\xaakung meron man na nakapalit sakin jan Sana pasayahin kaniya sa way na diko na gawa alagaan kaniya sa way na diko nagawa okay na tangap ko na dika na babalik wala na sorry tandaan mo mahal na mahal kita di mag babago yon ingat ka lage ha mahal na mahal kita',tl,-1,,
b'@Chaiinese Harotcha hahaha',others,1,,
b'Just posted a photo @ Masjid Daerah Sandakan https://t.co/ixatF5VGC5',en,0,,
"b""Happy birthday sabee! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x97 (@ Raff's Garden in Cotabato City, SOCCSKSARGEN) https://t.co/ODtQfqmBu3 https://t.co/xEgzsXRQDv""",en,1,,
b'pinapablib ako ng pokpok haha',tl,1,,
b'Buang man ni nga driver oy. HAHAHAHAHAHA. Awa edi one ride nalang ko imbes 2 bobo hahahahahahahaah',others,1,,
b'#MaineEBLentenBUKAS',others,0,,
b'Akon manghod galantaw Waktu Rehat \xf0\x9f\x98\x86',others,0,,
b'@cassyflrs Schrue mami',others,0,,
b'Iganga oooooooooy',others,0,,
"b'sansa really stared down at this colonizer like, \xe2\x80\x9clol bitch guess what\xe2\x80\x9d perhaps i\xe2\x80\x99m in love'",en,0,,
b'@panchsssssss how can i never see you again',en,-1,,
"b'yes po, opo sama niyo na kami sa out of the country niyo next time yes, kapag di na 1 week stay lang dito sina buddha hehe https://t.co/3ET78QB87D'",tlen,,,
b'May the Lord watch between you and me when we are far away from each other. \n\nGenesis 31:49',en,,,
b'I will miss everythiiiiing',en,-1,,
"b'some of my friend texted me ""parts treasure ka sakong debut ha."" ohhhhhhhhhhhhhhhh :&lt;'",others,0,,
b'#GameofThrones #GOT8 #ForTheThrone',others,0,,
b'Ustu kuu yunn',tl,1,,
b'Sometimes we do wrong things for the right reason.',en,-1,,
b'@_marycrisjoy parang kilala ko ah',tl,0,,
b'#GoT Season 8 Premiere is kinda good. #GameofThrones',en,1,,
b'Happy barthdiy sushi @angelicanavaaaa',en,1,,
b'@keiarfn Ali',others,0,,
b'Napapano ako ngayon??? Nag pasa agad yung sa kamay ko. \xf0\x9f\x98\x96',tl,-1,,
b'@Freeshiiia Malay natin mugana najud ilang gina ingon mutaas pag nagpatuli \xf0\x9f\x98\x82',others,0,,
b'@alyssabacenaaaa okinnas mo! hahahah haan ak met kasjay kaartek. \xf0\x9f\x98\x8f',others,0,,
b'I want u to love me the way u love your family\xe2\x9d\xa4\xef\xb8\x8f',en,1,,
b'Pisteng ywa maypag wa animal',others,0,,
b'\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x8d\xa6\xf0\x9f\x8d\xa6\xf0\x9f\x8d\xa6\xf0\x9f\x8d\xa6\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/UJf6V1R5kW',emoji,1,,
